# Time, Susceptible, Exposed, Infected, Removed
1.850000000000000000e+02 9.441404363628314034e-01 1.299897478347774790e-02 2.019971636413459698e-02 2.321464067547118065e-02
1.860000000000000000e+02 9.407184397702972323e-01 1.374301563719271431e-02 2.142699002592111240e-02 2.466830940956950616e-02
1.870000000000000000e+02 9.371025500499324812e-01 1.452801111064341844e-02 2.271910160153608332e-02 2.621007866616570023e-02
1.880000000000000000e+02 9.332817901859723486e-01 1.536043491478178077e-02 2.407488389011676333e-02 2.784561895093719958e-02
1.890000000000000000e+02 9.292456682024466952e-01 1.624546097334627834e-02 2.549394270655711003e-02 2.958064250122333094e-02
1.900000000000000000e+02 9.249876136528768500e-01 1.717736292110661270e-02 2.698446383903478282e-02 3.141926034055712857e-02
1.910000000000000000e+02 9.205012115131183670e-01 1.814904322721600308e-02 2.855592748564464434e-02 3.336550482583679894e-02
1.920000000000000000e+02 9.157790923211085454e-01 1.915599379912751726e-02 3.021551102878002742e-02 3.542407612928020338e-02
1.930000000000000000e+02 9.108129327715617229e-01 2.019629684586075197e-02 3.196808721218716287e-02 3.760034260340894274e-02
1.940000000000000000e+02 9.055934557159691645e-01 2.127062487800180507e-02 3.381622414096514817e-02 3.990034078104835041e-02
1.950000000000000000e+02 9.001104301625988402e-01 2.238224070770332072e-02 3.576018528156595100e-02 4.233077537532754786e-02
1.960000000000000000e+02 8.943526712764956477e-01 2.353699744868443730e-02 3.779792946179444391e-02 4.489901927967934747e-02
1.970000000000000000e+02 8.883080403794811897e-01 2.474333851623083252e-02 3.992511087080834187e-02 4.761311356784037052e-02
1.980000000000000000e+02 8.819634756992335012e-01 2.601224449876371123e-02 4.213511040716214767e-02 5.048175852515875833e-02
1.990000000000000000e+02 8.753102313354083064e-01 2.734555119303927820e-02 4.442748676423881327e-02 5.351230556184131959e-02
2.000000000000000000e+02 8.683464201637952629e-01 2.872666230456337455e-02 4.681640388807765951e-02 5.670907415055496947e-02
2.010000000000000000e+02 8.610693085887994869e-01 3.014172483567766070e-02 4.931355054430629214e-02 6.007696211892689375e-02
2.020000000000000000e+02 8.534752373944184400e-01 3.158151584056846650e-02 5.192599850166024211e-02 6.362177986003964003e-02
2.030000000000000000e+02 8.455596217442415963e-01 3.304144242526677044e-02 5.465620253198298639e-02 6.735025033243108306e-02
2.040000000000000000e+02 8.373169511814501087e-01 3.452154174764821698e-02 5.750200041022595493e-02 7.127000906009445247e-02
2.050000000000000000e+02 8.287407896288178089e-01 3.602648101743310266e-02 6.045661291444851676e-02 7.538960413247830505e-02
2.060000000000000000e+02 8.198237753887098744e-01 3.756555749618641082e-02 6.350864382581800083e-02 7.971849620448655249e-02
2.070000000000000000e+02 8.105576211430841616e-01 3.915269849731774221e-02 6.664207992860964047e-02 8.426705849647844748e-02
2.080000000000000000e+02 8.009388041613324516e-01 4.079304671635507890e-02 6.984651374584444072e-02 8.904407852051487993e-02
2.090000000000000000e+02 7.909774131066023006e-01 4.245857971577989692e-02 7.313728032788315014e-02 9.405215500060773448e-02
2.100000000000000000e+02 7.806826572299071509e-01 4.412537929624055916e-02 7.652598695281319363e-02 9.929438960700955052e-02
2.110000000000000000e+02 7.700628824799996552e-01 4.577659240969238208e-02 8.001705727788525901e-02 1.047748657817634960e-01
2.120000000000000000e+02 7.591255980196895958e-01 4.740237764575389035e-02 8.360776841681134830e-02 1.104986386587308161e-01
2.130000000000000000e+02 7.478774762258443287e-01 4.899990523170683066e-02 8.728825093976479155e-02 1.164717350635909032e-01
2.140000000000000000e+02 7.363243526893885615e-01 5.057335703249615094e-02 9.104148887338020524e-02 1.227011535138411713e-01
2.150000000000000000e+02 7.244712262153043536e-01 5.213392655073001425e-02 9.484331970075347840e-02 1.291948642187971674e-01
2.160000000000000000e+02 7.123226069725633325e-01 5.369891853841386731e-02 9.866315863505660533e-02 1.359616370443117173e-01
2.170000000000000000e+02 6.998958990339456676e-01 5.525561145894372639e-02 1.024938840689968156e-01 1.430039110615030085e-01
2.180000000000000000e+02 6.872188011866497970e-01 5.676592437206456204e-02 1.063494128874956646e-01 1.503181515385077771e-01
2.190000000000000000e+02 6.743166459368229448e-01 5.820265177356144515e-02 1.102339781482655906e-01 1.579019984156831424e-01
2.200000000000000000e+02 6.612131665408705894e-01 5.954805118541495884e-02 1.141429855281479028e-01 1.657540552378033161e-01
2.210000000000000000e+02 6.479304970054570179e-01 6.079384315580121240e-02 1.180630133231127255e-01 1.738738891540596299e-01
2.220000000000000000e+02 6.344891720875048824e-01 6.194121125909182735e-02 1.219718124482590538e-01 1.822620309180604248e-01
2.230000000000000000e+02 6.209081272941956442e-01 6.300080209585395830e-02 1.258383064378147398e-01 1.909199748878311342e-01
2.240000000000000000e+02 6.072046988829689074e-01 6.399272529285028599e-02 1.296225914451364924e-01 1.998501790258142841e-01
2.250000000000000000e+02 5.934019507583546682e-01 6.492375336072389591e-02 1.332959731127643099e-01 2.090515012742982515e-01
2.260000000000000000e+02 5.795387820778131749e-01 6.575429548605157826e-02 1.368716990588908777e-01 2.185113856710556024e-01
2.270000000000000000e+02 5.656505022063164079e-01 6.645677388067798563e-02 1.403539055919146572e-01 2.282179643308727690e-01
2.280000000000000000e+02 5.517692593357783615e-01 6.701420054153386929e-02 1.437381334205824479e-01 2.381605363561598854e-01
